"","values.1","values.2","values.3","values.4","values.5","values.6","values.7","values.8","values.9","values.10","values.11","values.12","sample_size"
"1",0.04,0.12,0.155,0.15,0.15,0.06,0.085,0.03,0.035,0.03,0.01,0.135,200
"2",0.07,0.135,0.135,0.095,0.11,0.07,0.105,0.045,0.045,0.025,0.04,0.125,200
"3",0.085,0.165,0.12,0.13,0.115,0.065,0.045,0.045,0.04,0.045,0.01,0.135,200
"4",0.05,0.12,0.195,0.15,0.125,0.085,0.06,0.03,0.035,0.035,0.025,0.09,200
"5",0.04,0.17,0.12,0.17,0.105,0.07,0.045,0.065,0.035,0.045,0.01,0.125,200
"6",0.085,0.155,0.13,0.155,0.105,0.055,0.06,0.055,0.045,0.045,0.01,0.1,200
"7",0.085,0.17,0.235,0.08,0.13,0.065,0.055,0.045,0.025,0.01,0.04,0.06,200
"8",0.07,0.125,0.2,0.18,0.07,0.075,0.065,0.03,0.045,0.02,0.02,0.1,200
"9",0.07,0.165,0.145,0.135,0.15,0.07,0.06,0.05,0.035,0.015,0.025,0.08,200
"10",0.065,0.16,0.16,0.12,0.14,0.085,0.055,0.03,0.035,0.05,0.01,0.09,200
"11",0.105,0.205,0.14,0.12,0.08,0.105,0.055,0.04,0.02,0.025,0.02,0.085,200
"12",0.09,0.21,0.155,0.095,0.12,0.07,0.07,0.05,0.04,0.02,0.02,0.06,200
"13",0.115,0.1,0.19,0.175,0.09,0.075,0.055,0.045,0.025,0.005,0.02,0.105,200
"14",0.065,0.16,0.18,0.155,0.095,0.055,0.075,0.025,0.025,0.04,0.025,0.1,200
"15",0.09,0.205,0.15,0.095,0.15,0.1,0.07,0.045,0.01,0.03,0.02,0.035,200
"16",0.09,0.16,0.18,0.165,0.095,0.11,0.035,0.045,0.025,0.02,0.025,0.05,200
"17",0.14,0.19,0.17,0.145,0.065,0.06,0.07,0.045,0.03,0.015,0.005,0.065,200
"18",0.055,0.225,0.28,0.115,0.105,0.07,0.045,0.035,0.015,0.01,0.015,0.03,200
"19",0.08,0.155,0.255,0.2,0.085,0.055,0.025,0.02,0.035,0.015,0.025,0.05,200
"20",0.07,0.23,0.175,0.145,0.135,0.045,0.06,0.04,0.035,0.02,0.015,0.03,200
"21",0.16,0.205,0.21,0.105,0.1,0.045,0.05,0.035,0.015,0.02,0.005,0.05,200
"22",0.12,0.255,0.16,0.09,0.095,0.105,0.065,0.025,0.025,0.015,0.005,0.04,200
"23",0.115,0.225,0.29,0.125,0.065,0.055,0.03,0.03,0.015,0.01,0.015,0.025,200
"24",0.095,0.23,0.24,0.2,0.085,0.025,0.04,0.02,0.01,0.025,0.005,0.025,200
"25",0.11,0.23,0.185,0.19,0.125,0.055,0.025,0.025,0.02,0.01,0,0.025,200
"26",0.08,0.265,0.165,0.13,0.185,0.075,0.055,0.015,0.01,0.015,0,0.005,200
"27",0.125,0.225,0.275,0.135,0.1,0.06,0.045,0.02,0.005,0,0.005,0.005,200
"28",0.13,0.285,0.185,0.195,0.1,0.025,0.045,0.02,0,0,0.005,0.01,200
"29",0.135,0.3,0.245,0.1,0.1,0.035,0.02,0.025,0.025,0.01,0.005,0,200
"30",0.11,0.285,0.225,0.17,0.05,0.065,0.02,0.01,0.035,0.01,0.005,0.015,200
